;"Личный кабинет клиента в сфере грузовых перевозок ОАО ""РЖД""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"09.03.2025
17:12";Дислокация вагонов по списку (SPV4664);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные о вагоне;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Дислокация вагона;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Номер вагона;Номер накладной;Род вагона;Администрация собственника;Дата и время начала рейса;Государство отправления;Дорога отправления;Станция отправления;Дата и время окончания рейса;Государство назначения;Дорога назначения;Станция назначения;Грузоотправитель (ТГНЛ);Грузоотправитель;Грузоотправитель (ОКПО);Грузоотправитель (наим);Грузополучатель ТГНЛ;Грузополучатель;Грузополучатель (ОКПО);Грузополучатель (наим);Наименование груза;Код груза ГНГ;Вес груза (кг);Пробег в груженом состоянии (км);Пробег в порожнем состоянии (км);Пробег общий (км);Норматив величины пробега (км);Остаток пробега (км);Признак пробега;Особые отметки;Ранее выгруженный груз;Код плательщика;Станция операции;Дорога операции;Операция с вагоном;Мнемокод операции;Дата и время операции;Дата операции;Тип парка;Тип парка (М/Т);Тип парка (П/Г);Тип парка (РП/НРП);Дорога сдачи;Дорога приема;Индекс поезда;Номер поезда;Номер вагона в составе поезда;Номер парка;Номер пути;Количество пломб;Количество груженых контейнеров;Количество порожних контейнеров;Номера контейнеров на вагоне;Нормативный срок доставки;Расстояние пройденное (км);Расстояние оставшееся (км);Расстояние общее (км);Время простоя под последней операцией (сутки:часы:минуты);Время простоя под последней операцией (сутки);Идентификатор отправки по досылке;Идентификатор накладной по досылке;Дата и время отправления (АСОУП) со станции приема груза к перевозке;Дата и время прибытия (АСОУП) на станцию назначения;Идентификатор отправки;Идентификатор накладной
42448662;36887946;Платформы (40);РЖД (20);27.10.2024 04:01;Российская Федерация (643);ВОСТОЧНО-СИБИРСКАЯ (92);НОВАЯ ЧАРА (904300);21.11.2024 15:07;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);86069900;0;57293;51608;108901;160000;51099;;0, 0, 0;Оборудование электротехническое и запасные части к нему (351293);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;22.11.2024 13:00;22.11.2024 13:00;Транзитный, Порожний, РП;Транзитный;Порожний;РП;МОСКОВСКАЯ (17);ЗАБАЙКАЛЬСКАЯ (94);200002 321 158209 (БРЯНСК-ЛЬГ.+321+КРИЧЕВ 1);3104;65; (1); (1);0;0;0;            ;03.12.2024;4902;105;5007;107:4:6;107;;0;29.10.2024 15:52;;209236887946;1549986377
42448670;37051328;Платформы (40);РЖД (20);10.12.2024 13:40;Российская Федерация (643);ВОСТОЧНО-СИБИРСКАЯ (92);ИРКУТСК-СОРТИРОВОЧНЫЙ (930004);28.12.2024 16:59;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);86069900;0;88190;47371;135561;160000;24439;;9, 0, 0;Средства транспортирования, не поименованные в алфавите (391303);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;28.12.2024 16:08;28.12.2024 16:08;Транзитный, Порожний, НРП;Транзитный;Порожний;НРП;МОСКОВСКАЯ (17);ВОСТОЧНО-СИБИРСКАЯ (92);202008 263 158209 (УНЕЧА+263+КРИЧЕВ 1);3104;42; (1); (1);0;0;0;            ;12.01.2025;5514;105;5619;71:0:58;71;;0;14.12.2024 22:24;;209237051328;1562459436
42450601;36887970;Платформы (40);РЖД (20);30.10.2024 18:05;Российская Федерация (643);ВОСТОЧНО-СИБИРСКАЯ (92);ОКУСИКАН (904003);02.12.2024 15:27;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;62749;54485;117234;160000;42766;;0, 0, 0;Оборудование для производства железобетонных конструкций и деталей и запасные части к нему (351166);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;03.12.2024 13:00;03.12.2024 13:00;Транзитный, Порожний, РП;Транзитный;Порожний;РП;МОСКОВСКАЯ (17);ПРИВОЛЖСКАЯ (61);200002 716 158209 (БРЯНСК-ЛЬГ.+716+КРИЧЕВ 1);3106;42; (1); (1);0;0;0;            ;04.12.2024;5251;105;5356;96:4:6;96;;0;02.11.2024 09:55;;209236887970;1549988877
42450619;36948970;Платформы (40);РЖД (20);10.11.2024 06:59;Российская Федерация (643);СВЕРДЛОВСКАЯ (76);ШУВАКИШ (780209);19.11.2024 17:29;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;53527;44718;98245;160000;61755;;0, 0, 0;Оборудование электротехническое и запасные части к нему (351293);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;19.11.2024 21:31;19.11.2024 21:31;Транзитный, Порожний, РП;Транзитный;Порожний;РП;МОСКОВСКАЯ (17);ДАЛЬНЕВОСТОЧНАЯ (96);200002 701 158209 (БРЯНСК-ЛЬГ.+701+КРИЧЕВ 1);3108;1; (1); (1);0;0;0;            ;26.11.2024;2309;105;2414;109:19:35;109;;0;11.11.2024 02:40;;207636948970;1550190386
54403043;37096783;Платформы (40);РЖД (20);11.12.2024 10:58;Российская Федерация (643);СЕВЕРНАЯ (28);ОБСКАЯ (289707);22.12.2024 04:31;Республика Беларусь (112);БЕЛОРУССКАЯ (13);МОЛОДЕЧНО (162900);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";586;"ООО ""НПФ ""МЭЛ-ЭНЕРГОПРОЕКТ"" (1063675)";1063675;"ООО ""НПФ ""МЭЛ-ЭНЕРГОПРОЕКТ""";Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);86069900;0;52245;12657;64902;160000;95098;;9, 0, 0;Полуприцепы автомобильные (381227);100612332;ОРША-ЦЕНТРАЛЬНАЯ (166403);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;22.12.2024 04:15;22.12.2024 04:15;Транзитный, Порожний, НРП;Транзитный;Порожний;НРП;МОСКОВСКАЯ (17);ВОСТОЧНО-СИБИРСКАЯ (92);170004 928 166403 (СМОЛЕНСК-СРТ+928+ОРША-ЦЕНТ.);2163;63; (0); (0);0;0;0;            ;29.12.2024;2926;286;3212;77:12:51;77;;0;12.12.2024 01:42;;202837096783;1566139856
54512439;37329469;Платформы (40);РЖД (20);31.01.2025 16:20;Российская Федерация (643);СЕВЕРО-КАВКАЗСКАЯ (51);ВЛАДИКАВКАЗ (538708);23.02.2025 10:57;Республика Беларусь (112);БЕЛОРУССКАЯ (13);МОЛОДЕЧНО (162900);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";586;"ООО ""НПФ ""МЭЛ-ЭНЕРГОПРОЕКТ"" (1063675)";1063675;"ООО ""НПФ ""МЭЛ-ЭНЕРГОПРОЕКТ""";Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);86069900;0;21295;7742;29037;110000;80963;;9, 0, 0; (091118);100612332;ОРША-ЦЕНТРАЛЬНАЯ (166403);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;23.02.2025 16:20;23.02.2025 16:20;Транзитный, Порожний, НРП;Транзитный;Порожний;НРП;МОСКОВСКАЯ (17);МОСКОВСКАЯ (17);180006 943 140009 (БЕКАСОВО-СРТ+943+МИНСК-СОРТ);2121;63; (0); (0);0;0;0;            ;14.02.2025;1952;286;2238;14:0:46;14;;0;03.02.2025 14:06;03.02.2025 16:59;205137329469;1585787795
54520713;ЭР824272;Платформы (40);БЧ (21);01.03.2025 07:50;Российская Федерация (643);МОСКОВСКАЯ (17);КУРБАКИНСКАЯ (205400);;Российская Федерация (643);МОСКОВСКАЯ (17);ПОЛПИНСКАЯ (200801);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";2365;"ООО ""СВС"" (15438021)";15438021;"ООО ""СВС""";Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);0;0;21012;6288;27300;0;0;;9, 0, 0;Оборудование горношахтное и запасные части к нему (351081);100612332;БРЯНСК-ЛЬГОВСКИЙ (200002);МОСКОВСКАЯ (17);Окончание осмотра по ВУ-14 (45);ОКОС;06.03.2025 18:43;06.03.2025 18:43;Местный, Порожний, НРП;Местный;Порожний;НРП;МОСКОВСКАЯ (17);МОСКОВСКАЯ (17);200002 049 200801 (БРЯНСК-ЛЬГ.+049+ПОЛПИНСКАЯ);3802;20;6 (6);"ЧЕТНЫЙ (ВОСТОЧНЫЙ) ТРАНЗИТНЫЙ ПАРК  ""Е"" (5)";0;0;0;            ;05.03.2025;202;5;207;2:22:23;2;;0;04.03.2025 19:25;;2017ЭP824272;1597308716
42227751;37464059;Платформы (40);РЖД (20);20.02.2025 16:11;Российская Федерация (643);ДАЛЬНЕВОСТОЧНАЯ (96);УГОЛЬНАЯ (982102);09.03.2025 03:03;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ОРША-ЗАПАДНАЯ (166507);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";4704; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;31779;20421;52200;160000;107800;;9, 0, 0;Конструкции металлические, не поименованные в алфавите (371051);100612332;ОРША-ЦЕНТРАЛЬНАЯ (166403);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;09.03.2025 05:32;09.03.2025 05:32;Транзитный, Порожний, НРП;Транзитный;Порожний;НРП;МОСКОВСКАЯ (17);ОКТЯБРЬСКАЯ (1);170004 183 166403 (СМОЛЕНСК-СРТ+183+ОРША-ЦЕНТ.);2101;40; (0); (0);0;0;0;            ;11.04.2025;6336;1;6337;0:11:34;0;;0;21.02.2025 02:40;;209637464059;1597001149
54512413;ЭР504090;Платформы (40);РЖД (20);21.02.2025 18:09;Российская Федерация (643);СЕВЕРО-КАВКАЗСКАЯ (51);АДЛЕР (532805);03.03.2025 09:21;Российская Федерация (643);МОСКОВСКАЯ (17);БРЯНСК-ЛЬГОВСКИЙ (200002);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";322;"Московская дирекция инфраструктуры ЦДИ ОАО ""РЖД"" (78970260)";78970260;"Московская дирекция инфраструктуры ЦДИ ОАО ""РЖД""";Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта (421195);0;0;23143;11757;34900;110000;75100;;9, 0, 0; (091118);100612332;БРЯНСК-ЛЬГОВСКИЙ (200002);МОСКОВСКАЯ (17);Окончание расформирования группы (43);ОРФГ;06.03.2025 02:10;06.03.2025 02:10;Местный, Порожний, НРП;Местный;Порожний;НРП;МОСКОВСКАЯ (17);МОСКОВСКАЯ (17);180006 478 200002 (БЕКАСОВО-СРТ+478+БРЯНСК-ЛЬГ.);9449;50;XLVI (2); (25);0;0;0;            ;01.03.2025;1487;0;1487;3:14:56;3;;0;24.02.2025 05:45;02.03.2025 16:41;2051ЭP504090;1596043282
42240044;37467756;Платформы (40);РЖД (20);26.02.2025 08:41;Российская Федерация (643);ЮГО-ВОСТОЧНАЯ (58);ТЕЛЕГИНО (593300);06.03.2025 16:50;Республика Беларусь (112);БЕЛОРУССКАЯ (13);ЗАДНЕПРОВСКАЯ (157809);2080;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ"" (43122305)";43122305;"ООО ""УНИВЕРСАЛЬНЫЕ РЕШЕНИЯ""";3464; (0);0;;Вагоны железнодорожные всякие, перевозимые на своих осях (421034);86069900;0;62105;28670;90775;160000;69225;;0, 0, 0;Арматура газовая и водопроводная (411013);100612332;КРИЧЕВ 1 (158209);МОСКОВСКАЯ (17);Подготовка поездной передаточной ведомости по сдаче вагона с дороги (94);СПВС;06.03.2025 22:08;06.03.2025 22:08;Транзитный, Порожний, РП;Транзитный;Порожний;РП;МОСКОВСКАЯ (17);ДАЛЬНЕВОСТОЧНАЯ (96);202008 323 158209 (УНЕЧА+323+КРИЧЕВ 1);3108;54; (1); (1);0;0;0;            ;06.03.2025;601;105;706;2:18:58;2;;0;26.02.2025 19:39;;205837467756;1597806080
